code,name,label
HB,"Greater Bay Airlines","Greater Bay Airlines (HB)"
Q9,"Green Africa","Green Africa (Q9)"
GF,"Gulf Air","Gulf Air (GF)"
G2,"GullivAir","GullivAir (G2)"
GX,"GX Airlines","GX Airlines (GX)"
HR,"Hahn Air","Hahn Air (HR)"
HU,"Hainan Airlines","Hainan Airlines (HU)"
HG,"Hala Air","Hala Air (HG)"
HA,"Hawaiian Airlines","Hawaiian Airlines (HA)"
Y5,"Hayways","Hayways (Y5)"
NS,"Hebei Airlines","Hebei Airlines (NS)"
YO,"Heli Air Monaco","Heli Air Monaco (YO)"
HS,"Heli Securite","Heli Securite (HS)"
H3,"HelloJets","HelloJets (H3)"
2L,"Helvetic Airways","Helvetic Airways (2L)"
HN,"Heston Airlines","Heston Airlines (HN)"
5K,"Hi Fly","Hi Fly (5K)"
H9,"Himalaya Airlines","Himalaya Airlines (H9)"
OI,"Hinterland Aviation","Hinterland Aviation (OI)"
H7,"HiSky","HiSky (H7)"
UO,"HK express","HK express (UO)"
RH,"Hong Kong Air Cargo","Hong Kong Air Cargo (RH)"
HX,"Hong Kong Airlines","Hong Kong Airlines (HX)"
MR,"Hunnu Air","Hunnu Air (MR)"
0Q,"Hydro-Québec","Hydro-Québec (0Q)"
F7,"I-Fly","I-Fly (F7)"
II,"IBC Airways","IBC Airways (II)"
IB,"Iberia","Iberia (IB)"
I2,"Iberia Express","Iberia Express (I2)"
E9,"Iberojet","Iberojet (E9)"
FW,"Ibex Airlines","Ibex Airlines (FW)"
QI,"Ibom Air","Ibom Air (QI)"
FI,"Icelandair","Icelandair (FI)"
EO,"Ikar","Ikar (EO)"
I7,"IndiaOne Air","IndiaOne Air (I7)"
6E,"IndiGo","IndiGo (6E)"
JY,"InterCaribbean Airways","InterCaribbean Airways (JY)"
K8,"InterJet West","InterJet West (K8)"
IO,"IrAero","IrAero (IO)"
IR,"Iran Air","Iran Air (IR)"
B9,"Iran Airtour","Iran Airtour (B9)"
EP,"Iran Aseman Airlines","Iran Aseman Airlines (EP)"
IA,"Iraqi Airways","Iraqi Airways (IA)"
6H,"Israir Airlines","Israir Airlines (6H)"
AZ,"ITA Airways","ITA Airways (AZ)"
I8,"Izhavia","Izhavia (I8)"
JM,"Jambojet","Jambojet (JM)"
JC,"Japan Air Commuter","Japan Air Commuter (JC)"
JL,"Japan Airlines","Japan Airlines (JL)"
NU,"Japan Transocean Air","Japan Transocean Air (NU)"
QK,"Jazz Aviation","Jazz Aviation (QK)"
J9,"Jazeera Airways","Jazeera Airways (J9)"
JG,"JDL Airlines","JDL Airlines (JG)"
7C,"Jeju Air","Jeju Air (7C)"
JK,"Jet Sky Airways","Jet Sky Airways (JK)"
LS,"Jet2","Jet2 (LS)"
B6,"JetBlue","JetBlue (B6)"
JA,"JetSMART","JetSMART (JA)"
JQ,"Jetstar","Jetstar (JQ)"
JP,"Jettime","Jettime (JP)"
WU,"Jetways Airlines","Jetways Airlines (WU)"
RY,"Jiangxi Air","Jiangxi Air (RY)"
LJ,"Jin Air","Jin Air (LJ)"
R5,"Jordan Aviation","Jordan Aviation (R5)"
JR,"JoyAir","JoyAir (JR)"
XE,"JSX","JSX (XE)"
HO,"Juneyao Air","Juneyao Air (HO)"
8K,"K-Mile Air","K-Mile Air (8K)"
K4,"Kalitta Air","Kalitta Air (K4)"
K5,"Kalitta Charters II","Kalitta Charters II (K5)"
RQ,"Kam Air","Kam Air (RQ)"
FK,"Keewatin Air","Keewatin Air (FK)"
M5,"Kenmore Air","Kenmore Air (M5)"
4K,"Kenn Borek Air","Kenn Borek Air (4K)"
KQ,"Kenya Airways","Kenya Airways (KQ)"
KG,"Key Lime Air","Key Lime Air (KG)"
KL,"KLM","KLM (KL)"
KM,"KM Malta Airlines","KM Malta Airlines (KM)"
KE,"Korean Air","Korean Air (KE)"
KV,"Krasavia","Krasavia (KV)"
KY,"Kunming Airlines","Kunming Airlines (KY)"
KU,"Kuwait Airways","Kuwait Airways (KU)"
B0,"La Compagnie","La Compagnie (B0)"
LC,"La Costena","La Costena (LC)"
TM,"LAM","LAM (TM)"
5A,"LaneXang","LaneXang (5A)"
QV,"Lao Airlines","Lao Airlines (QV)"
LK,"Lao Skyway","Lao Skyway (LK)"
4L,"LAS Cargo","LAS Cargo (4L)"
QL,"Laser Airlines","Laser Airlines (QL)"
LA,"LATAM Airlines","LATAM Airlines (LA)"
UC,"LATAM Cargo","LATAM Cargo (UC)"
LW,"Lauda Europe","Lauda Europe (LW)"
KK,"LEAV Aviation","LEAV Aviation (KK)"
LZ,"Legend Airlines","Legend Airlines (LZ)"
LL,"Level","Level (LL)"
LN,"Libyan Airlines","Libyan Airlines (LN)"
YL,"Libyan Wings","Libyan Wings (YL)"
GE,"Lift","Lift (GE)"
JT,"Lion Air","Lion Air (JT)"
8I,"Lipican Aer","Lipican Aer (8I)"
L0,"Liz Aviation","Liz Aviation (L0)"
LM,"Loganair","Loganair (LM)"
LT,"LongJiang Airlines","LongJiang Airlines (LT)"
6T,"Longtail Aviation","Longtail Aviation (6T)"
GJ,"Loong Air","Loong Air (GJ)"
LO,"LOT","LOT (LO)"
8L,"Lucky Air","Lucky Air (8L)"
LH,"Lufthansa","Lufthansa (LH)"
VL,"Lufthansa City","Lufthansa City (VL)"
L9,"Lumiwings","Lumiwings (L9)"
LG,"Luxair","Luxair (LG)"
BN,"Luxwing","Luxwing (BN)"
L2,"Lynden Air Cargo","Lynden Air Cargo (L2)"
DJ,"Maersk Air Cargo","Maersk Air Cargo (DJ)"
W5,"Mahan Air","Mahan Air (W5)"
3W,"Malawi Airlines","Malawi Airlines (3W)"
MH,"Malaysia Airlines","Malaysia Airlines (MH)"
Q2,"Maldivian","Maldivian (Q2)"
DB,"Maleth-Aero","Maleth-Aero (DB)"
MW,"Malta Air","Malta Air (MW)"
MT,"Malta MedAir","Malta MedAir (MT)"
AE,"Mandarin Airlines","Mandarin Airlines (AE)"
7Y,"Mann Yadanarpon Airlines","Mann Yadanarpon Airlines (7Y)"
NR,"Manta Air","Manta Air (NR)"
7M,"Map Linhas Aereas","Map Linhas Aereas (7M)"
DI,"Marabu","Marabu (DI)"
O8,"Marathon Airlines","Marathon Airlines (O8)"
MP,"Martinair","Martinair (MP)"
M7,"mas","mas (M7)"
MY,"MASwings","MASwings (MY)"
L6,"Mauritania Airlines","Mauritania Airlines (L6)"
4M,"Mavi Gök Airlines","Mavi Gök Airlines (4M)"
VM,"Max Air","Max Air (VM)"
6M,"Maximus Airlines","Maximus Airlines (6M)"
2M,"Maya Island Air","Maya Island Air (2M)"
ME,"MEA","MEA (ME)"
BM,"Medsky Airways","Medsky Airways (BM)"
YV,"Mesa Airlines","Mesa Airlines (YV)"
XN,"Mexicana","Mexicana (XN)"
M2,"MHS Aviation","MHS Aviation (M2)"
OM,"MIAT Mongolian Airlines","MIAT Mongolian Airlines (OM)"
K7,"Mingalar","Mingalar (K7)"
MB,"MNG Airlines","MNG Airlines (MB)"
WD,"Modern Logistics","Modern Logistics (WD)"
QM,"Monacair","Monacair (QM)"
XF,"Mongolian Airways","Mongolian Airways (XF)"
M9,"Motor Sich Airlines","Motor Sich Airlines (M9)"
C6,"My Freighter","My Freighter (C6)"
2Y,"My Indo Airlines","My Indo Airlines (2Y)"
8M,"Myanmar Airways International","Myanmar Airways International (8M)"
UB,"Myanmar National Airlines","Myanmar National Airlines (UB)"
MJ,"MyWay Airlines","MyWay Airlines (MJ)"
IN,"Nam Air","Nam Air (IN)"
WO,"National Jet Express","National Jet Express (WO)"
ON,"Nauru Airlines","Nauru Airlines (ON)"
NO,"Neos","Neos (NO)"
RA,"Nepal Airlines","Nepal Airlines (RA)"
NE,"Nesma Airlines","Nesma Airlines (NE)"
EJ,"New England Airlines","New England Airlines (EJ)"
7H,"New Pacific Airlines","New Pacific Airlines (7H)"
2N,"NG Eagle","NG Eagle (2N)"
NP,"Nile Air","Nile Air (NP)"
KZ,"Nippon Cargo Airlines","Nippon Cargo Airlines (KZ)"
DD,"Nok Air","Nok Air (DD)"
N5,"Nolinor Aviation","Nolinor Aviation (N5)"
NA,"Nomad Aviation","Nomad Aviation (NA)"
Y7,"NordStar","NordStar (Y7)"
N4,"Nordwind Airlines","Nordwind Airlines (N4)"
N0,"Norse","Norse (N0)"
0E,"North-West Air Company","North-West Air Company (0E)"
CO,"North-Western Cargo International Airlines","North-Western Cargo International Airlines (CO)"
HW,"North-Wright Airways","North-Wright Airways (HW)"
NC,"Northern Air Cargo","Northern Air Cargo (NC)"
J3,"Northwestern Air","Northwestern Air (J3)"
DY,"Norwegian","Norwegian (DY)"
BJ,"Nouvelair","Nouvelair (BJ)"
NG,"Novair","Novair (NG)"
VQ,"Novoair","Novoair (VQ)"
OJ,"Nyxair","Nyxair (OJ)"
BK,"Okay Airways","Okay Airways (BK)"
OA,"Olympic Air","Olympic Air (OA)"
WY,"Oman Air","Oman Air (WY)"
OC,"Oriental Air Bridge","Oriental Air Bridge (OC)"
OG,"Origin Air","Origin Air (OG)"
OF,"Overland Airways","Overland Airways (OF)"
8P,"Pacific Coastal Airlines","Pacific Coastal Airlines (8P)"
PK,"Pakistan International Airlines","Pakistan International Airlines (PK)"
PB,"PAL Airlines","PAL Airlines (PB)"
P6,"Pascan Aviation","Pascan Aviation (P6)"
OP,"PassionAir","PassionAir (OP)"
VV,"Pattaya Airways","Pattaya Airways (VV)"
MM,"Peach","Peach (MM)"
PC,"Pegasus","Pegasus (PC)"
IP,"Pelita Air","Pelita Air (IP)"
PE,"People's","People's (PE)"
UF,"Petroleum Air Services","Petroleum Air Services (UF)"
PR,"Philippine Airlines","Philippine Airlines (PR)"
PH,"Phoenix Air","Phoenix Air (PH)"
ZX,"Pivot Airlines","Pivot Airlines (ZX)"
PU,"Plus Ultra","Plus Ultra (PU)"
CG,"PNG Air","PNG Air (CG)"
DP,"Pobeda","Pobeda (DP)"
PI,"Polar Airlines","Polar Airlines (PI)"
HP,"populAir","populAir (HP)"
P3,"Porter","Porter (P3)"
M4,"Poste Air Cargo","Poste Air Cargo (M4)"
6P,"Pradhaan Air Express","Pradhaan Air Express (6P)"
PW,"Precision Air","Precision Air (PW)"
JW,"Private Wings","Private Wings (JW)"
P0,"Proflight Zambia","Proflight Zambia (P0)"
PP,"Propair","Propair (PP)"
HH,"Qanot Sharq","Qanot Sharq (HH)"
QF,"Qantas","Qantas (QF)"
QR,"Qatar Airways","Qatar Airways (QR)"
QE,"Qatar Executive","Qatar Executive (QE)"
IQ,"Qazaq Air","Qazaq Air (IQ)"
QB,"Qeshm Airlines","Qeshm Airlines (QB)"
QW,"Qingdao Airlines","Qingdao Airlines (QW)"
QO,"Quikjet Cargo Airlines","Quikjet Cargo Airlines (QO)"
R4,"Rano Air","Rano Air (R4)"
TH,"Raya Airways","Raya Airways (TH)"
L5,"RED Air","RED Air (L5)"
4S,"Red Sea Airlines","Red Sea Airlines (4S)"
WZ,"Red Wings","Red Wings (WZ)"
YX,"Republic Airways","Republic Airways (YX)"
ZL,"rex. Regional Express","rex. Regional Express (ZL)"
RI,"Rimbun Air","Rimbun Air (RI)"
4T,"RiseAir","RiseAir (4T)"
FV,"Rossiya","Rossiya (FV)"
RG,"Rotana Jet","Rotana Jet (RG)"
AT,"Royal Air Maroc","Royal Air Maroc (AT)"
BI,"Royal Brunei Airlines","Royal Brunei Airlines (BI)"
RJ,"Royal Jordanian","Royal Jordanian (RJ)"
RW,"Royalair Philippines","Royalair Philippines (RW)"
DR,"Ruili Airlines","Ruili Airlines (DR)"
7R,"Rusline","Rusline (7R)"
5R,"Rutaca Airlines","Rutaca Airlines (5R)"
WB,"RwandAir","RwandAir (WB)"
7S,"Ryan Air (USA)","Ryan Air (USA) (7S)"
FR,"Ryanair","Ryanair (FR)"
S7,"S7 Airlines","S7 Airlines (S7)"
F2,"Safarilink Aviation","Safarilink Aviation (F2)"
OV,"SalamAir","SalamAir (OV)"
OL,"Samoa Airways","Samoa Airways (OL)"
RZ,"Sansa","Sansa (RZ)"
S2,"Sapsan Airline","Sapsan Airline (S2)"
SK,"SAS","SAS (SK)"
SP,"SATA Air Acores","SATA Air Acores (SP)"
9R,"SATENA","SATENA (9R)"
SV,"Saudia","Saudia (SV)"
DV,"SCAT","SCAT (DV)"
TR,"Scoot","Scoot (TR)"
BB,"Seaborne","Seaborne (BB)"
XO,"SEair International","SEair International (XO)"
IS,"Sepehran Airlines","Sepehran Airlines (IS)"
ER,"Serene Air","Serene Air (ER)"
D2,"Severstal Aircompany","Severstal Aircompany (D2)"
O3,"SF Airlines","SF Airlines (O3)"
SC,"Shandong Airlines","Shandong Airlines (SC)"
FM,"Shanghai Airlines","Shanghai Airlines (FM)"
ZH,"Shenzhen Airlines","Shenzhen Airlines (ZH)"
5G,"Shirak Avia","Shirak Avia (5G)"
N9,"Shree Airlines","Shree Airlines (N9)"
3U,"Sichuan Airlines","Sichuan Airlines (3U)"
SI,"Sierra Pacific Airlines","Sierra Pacific Airlines (SI)"
ZP,"Silk Way Airlines","Silk Way Airlines (ZP)"
7L,"Silk Way West Airlines","Silk Way West Airlines (7L)"
US,"Silkavia","Silkavia (US)"
3M,"Silver Airways","Silver Airways (3M)"
SQ,"Singapore Airlines","Singapore Airlines (SQ)"
KI,"SKS Airways","SKS Airways (KI)"
H2,"SKY Airline","SKY Airline (H2)"
ZA,"Sky Angkor Airlines","Sky Angkor Airlines (ZA)"
RD,"Sky Cana","Sky Cana (RD)"
GQ,"SKY express","SKY express (GQ)"
GG,"Sky Lease Cargo","Sky Lease Cargo (GG)"
ML,"Sky Mali","Sky Mali (ML)"
SE,"Sky Vision Airlines","Sky Vision Airlines (SE)"
BQ,"SkyAlps","SkyAlps (BQ)"
DO,"SKYhigh Dominicana","SKYhigh Dominicana (DO)"
M8,"SkyJet Airlines","SkyJet Airlines (M8)"
QU,"SkyLine Express","SkyLine Express (QU)"
BC,"Skymark Airlines","Skymark Airlines (BC)"
X4,"Skyside","Skyside (X4)"
QN,"Skytrans","Skytrans (QN)"
PQ,"SkyUp Airlines","SkyUp Airlines (PQ)"
OW,"Skyward Express","Skyward Express (OW)"
OO,"SkyWest Airlines","SkyWest Airlines (OO)"
CW,"SkyWest Charter","SkyWest Charter (CW)"
5N,"Smartavia","Smartavia (5N)"
6Y,"SmartLynx","SmartLynx (6Y)"
QS,"Smartwings","Smartwings (QS)"
6J,"Solaseed Air","Solaseed Air (6J)"
ZS,"Solinair","Solinair (ZS)"
IE,"Solomon Airlines","Solomon Airlines (IE)"
SZ,"Somon Air","Somon Air (SZ)"
SA,"South African Airways","South African Airways (SA)"
PL,"Southern Air Charter","Southern Air Charter (PL)"
9X,"Southern Airways Express","Southern Airways Express (9X)"
WN,"Southwest Airlines","Southwest Airlines (WN)"
2S,"Southwind Airlines","Southwind Airlines (2S)"
Y3,"SpaceBee Airlines","SpaceBee Airlines (Y3)"
SG,"SpiceJet","SpiceJet (SG)"
NK,"Spirit Airlines","Spirit Airlines (NK)"
9C,"Spring Airlines","Spring Airlines (9C)"
IJ,"Spring Japan","Spring Japan (IJ)"
P8,"SprintAir","SprintAir (P8)"
UL,"SriLankan Airlines","SriLankan Airlines (UL)"
SJ,"Sriwijaya Air","Sriwijaya Air (SJ)"
PV,"St Barth Commuter","St Barth Commuter (PV)"
LE,"St Barth Executive","St Barth Executive (LE)"
4R,"Star East Airlines","Star East Airlines (4R)"
2I,"Star Peru","Star Peru (2I)"
7G,"Starflyer","Starflyer (7G)"
Q4,"Starlink Aviation","Starlink Aviation (Q4)"
JX,"Starlux","Starlux (JX)"
SD,"Sudan Airways","Sudan Airways (SD)"
SY,"Sun Country Airlines","Sun Country Airlines (SY)"
EZ,"Sun-Air","Sun-Air (EZ)"
DK,"Sunclass Airlines","Sunclass Airlines (DK)"
SR,"Sundair","Sundair (SR)"
XQ,"SunExpress","SunExpress (XQ)"
